date,trip_count,total_revenue,avg_surcharge
2025-02-20,139374,3424900.5699999835,1.7910406532064804
2025-02-21,131244,3379284.260000023,1.7683856023894426
2025-02-22,141432,3278720.3199999477,1.5963908450704225
2025-02-23,108651,2791376.709999956,1.6407856347387506
2025-02-24,96486,2576944.4199999496,1.8681103994361876
2025-02-25,114493,2927372.989999996,1.8921484282881922
2025-02-26,127268,3306369.949999973,1.8645122890278782
2025-02-27,141323,3676120.3399999803,1.8289981107109246
2025-02-28,145085,3697291.6599999545,1.698359582313816
2025-03-01,163821,3916833.720000004,1.5945162708077718
2025-03-02,128351,3260456.999999958,1.5709636076072644
2025-03-03,109727,2900527.5999999642,1.8696082094653093
2025-03-04,123708,3153858.9199999985,1.8667386102758108
2025-03-05,142622,3653301.230000023,1.7370987645664764
2025-03-06,143580,3692610.54000007,1.8118714305613595
2025-03-07,134329,3412576.7499999753,1.785950911567867
2025-03-08,147388,3448861.4299999685,1.6598841153960975
2025-03-09,116912,3052347.059999925,1.6061161386341865
2025-03-10,104307,2839609.139999958,1.854451283231231
2025-03-11,124612,3276210.2199999597,1.877463647160787
2025-03-12,137260,3580153.150000033,1.8864272184176016
2025-03-13,153957,4021291.989999956,1.7975473671219886
2025-03-14,142241,3671029.939999959,1.7829423302704566
2025-03-15,152503,3690053.27999999,1.6457430345632544
2025-03-16,118442,3123553.979999918,1.5928196923388662
2025-03-17,111338,3165192.409999944,1.7478376654870753
2025-03-18,123684,3264774.6100000343,1.8299759871931698
2025-03-19,126886,3344555.409999969,1.8613795060132718
2025-03-20,150895,4034718.0899999985,1.726473706882269
2025-03-21,132305,3512880.3799999943,1.7650523411813612
2025-03-22,141698,3520561.239999974,1.7001563183672317
2025-03-23,120465,3241875.149999888,1.6385547669447558
2025-03-24,109692,3041576.229999922,1.807007347846698
2025-03-25,118965,3183852.300000017,1.8790421552557475
2025-03-26,130272,3460074.069999987,1.8883125307049864
2025-03-27,140877,3826608.249999973,1.8155163724383683
2025-03-28,134082,3542528.879999954,1.786209185423845
2025-03-29,162616,4065272.2999999993,1.6086747306538103
2025-03-30,136077,3667986.0299998876,1.4113296148504155
2025-03-31,113709,3104532.2099999217,1.7594363682733996
2025-04-01,127789,3447242.4699999555,1.8592523613143541
2025-04-02,135798,3543539.4000000083,1.8912318296293023
2025-04-03,136788,3714671.5199999637,1.8888096909085592
2025-04-04,133377,3533499.2699999837,1.8587593813026233
2025-04-05,152903,3705653.199999962,1.7185928333649438
2025-04-06,122485,3238129.219999924,1.6153488182226394
2025-04-07,114990,3148478.249999924,1.8906230976606662
2025-04-08,130348,3375082.0299999644,1.9038458587780402
2025-04-09,136448,3605190.62999995,1.8821162640712945
2025-04-10,145194,3843173.9999999576,1.8682004766037164
2025-04-11,151254,3827817.5699999356,1.711614238301136
2025-04-12,148942,3489920.149999963,1.6171110230828107
2025-04-13,109241,2817974.2699999176,1.6688994974414368
2025-04-14,98883,2657354.1699999548,1.8907294479334162
2025-04-15,121123,3193199.1600000067,1.9121636683371448
2025-04-16,132638,3466121.639999972,1.934862181275351
2025-04-17,133509,3601089.169999975,1.882588439730655
2025-04-18,123650,3199598.2999999886,1.8098524059846341
2025-04-19,133464,3261450.359999938,1.6958037373374093
2025-04-20,114977,3006839.249999975,1.5820642389347435
2025-04-21,106823,2990635.2799999295,1.8805219849657846
2025-04-22,123610,3386759.2599999327,1.9062373594369388
2025-04-23,134310,3608962.9500000016,1.907331918695555
2025-04-24,145934,4022506.55999997,1.8692234160647965
2025-04-25,144920,3856710.389999954,1.8017164642561414
2025-04-26,157657,3935844.159999974,1.7166538751847364
2025-04-27,140720,3725450.029999927,1.5315680073905629
2025-04-28,108981,3085262.829999927,1.8707962855910663
2025-04-29,125036,3415239.6099999635,1.904699446559391
2025-04-30,138173,3790052.80999995,1.8667286662372533
2025-05-01,153974,4266473.179999935,1.801883759595776
2025-05-02,143880,3832192.8799999407,1.781437656380317
2025-05-03,163170,4011471.6299999584,1.5982165839308697
2025-05-04,141877,3817495.04999995,1.449588375846684
2025-05-05,132884,3651452.8299999405,1.6715405917943469
2025-05-06,142016,3852600.749999959,1.7407351988508337
2025-05-07,146404,4035018.799999915,1.7967712630802437
2025-05-08,161466,4459745.299999994,1.7658764074170414
2025-05-09,158214,4275176.189999905,1.651238196366946
2025-05-10,158689,3995669.089999982,1.614187183736743
2025-05-11,146761,3925285.7999998936,1.4847353861039376
2025-05-12,126471,3588113.439999915,1.7462600121767045
2025-05-13,148455,4067717.909999947,1.7727813142029571
2025-05-14,158358,4492599.5199998915,1.6361708912716755
2025-05-15,164352,4635067.319999928,1.7053275895638629
2025-05-16,158868,4518579.549999953,1.619043797366367
2025-05-17,178122,4724354.069999912,1.451474270443853
2025-05-18,142705,4115806.4199998677,1.4168038961493992
2025-05-19,133511,3406305.899999931,1.6771464523522406
2025-05-20,149113,3703755.8299999596,1.6965640152099415
2025-05-21,161841,4033495.5599999987,1.6954680828714603
2025-05-22,159345,3998613.4499999257,1.628417898271047
2025-05-23,133321,3271226.449999916,1.6342567937534223
2025-05-24,119929,2492450.439999963,1.5430734017627097
2025-05-25,113465,2853772.5999999093,1.4032388842374302
2025-05-26,98339,2702130.4499999136,1.4462141164746438
2025-05-27,122764,3425246.569999928,1.7778949855006354
2025-05-28,152653,4150017.1499998933,1.6880867064518876
2025-05-29,146333,4029315.159999937,1.7546623113036703
2025-05-30,144003,3838922.4399999296,1.6779928195940363
2025-05-31,152741,3842961.019999964,1.5426817292017205
2025-06-01,131100,3607078.219999917,1.478794813119756
2025-06-02,112752,3145228.4999999767,1.791052486873847
2025-06-03,138403,3714007.659999917,1.7649725800741314
2025-06-04,154641,4216793.499999954,1.7274315996404577
2025-06-05,171996,4706991.039999914,1.6088760785134537
2025-06-06,157289,4339837.269999932,1.4689949710405685
2025-06-07,162671,4323613.7299999045,1.384069686668183
2025-06-08,138814,3995219.989999929,1.3530209488956446
2025-06-09,126379,3509280.329999937,1.7251442090853701
2025-06-10,139053,3819986.8099999726,1.7418538255197658
2025-06-11,148973,4355292.1099999845,1.737192310015909
2025-06-12,162685,4465475.769999927,1.676219381012386
2025-06-13,142863,3778660.169999988,1.6253648600407384
2025-06-14,145609,3592947.399999954,1.4478449134325488
2025-06-15,124511,3248319.9299999424,1.4293476078418774
2025-06-16,118220,3239322.899999935,1.7079470478768397
2025-06-17,134133,3552715.1400000216,1.725117979915457
2025-06-18,153144,4089094.7099999716,1.6638947657107037
2025-06-19,139679,3652789.4099999587,1.6483651801630883
2025-06-20,136401,3678249.0099999537,1.6013573947405078
2025-06-21,156216,3963767.4299999797,1.3722345982485789
2025-06-22,134837,3683537.83999994,1.334985945994052
2025-06-23,137848,3799526.479999926,1.5575343857001915
2025-06-24,152477,4061807.7799999523,1.6196426346268618
2025-06-25,153587,4142032.4399999366,1.6750359730966813
2025-06-26,148951,4202269.959999935,1.670906875415405
2025-06-27,135101,3708381.859999955,1.6323065706397435
2025-06-28,141809,3694772.9299999415,1.5046312293295911
2025-06-29,128910,3558958.009999933,1.3826623225506167
2025-06-30,110562,2899665.0299999476,1.6888600965973843
2025-07-01,128199,3270919.6999999643,1.6848220344932487
2025-07-02,110215,2903774.7599999555,1.6952139001043416
2025-07-03,102519,2651544.179999943,1.5804826422419258
2025-07-04,87640,2226596.16999996,1.2424178457325423
2025-07-05,94311,2425870.469999957,1.3767826658608222
2025-07-06,95624,2674612.2699999125,1.4608806366602527
2025-07-07,101175,2794943.449999952,1.7002569804793675
2025-07-08,129382,3406287.569999974,1.7111228764434
2025-07-09,133678,3567263.179999961,1.7258393303310942
2025-07-10,126683,3443351.2199999243,1.7164063055027114
2025-07-11,121319,3186995.5999999666,1.6312139895647013
2025-07-12,135398,3428935.9499999573,1.4535037445161672
2025-07-13,118227,3180010.4799999613,1.4067133565090884
2025-07-14,131232,3562322.6799999895,1.561680840039015
2025-07-15,130992,3615404.629999947,1.7340677293269817
2025-07-16,141096,3751562.909999964,1.7339630464364688
2025-07-17,144166,3881602.87999998,1.6655920952235617
2025-07-18,125075,3322801.699999913,1.590161902858285
2025-07-19,136236,3413226.719999975,1.4248289732522974
2025-07-20,123252,3245028.3799999417,1.401547236555999
2025-07-21,109417,3024153.0699999495,1.66869179377976
2025-07-22,121010,3258790.3499999684,1.7261383356747377
2025-07-23,127950,3412640.4699999494,1.7244978507229387
2025-07-24,131523,3579686.13999997,1.691591964903477
2025-07-25,132748,3452148.3699999736,1.5537277397776237
2025-07-26,139840,3572238.4399999604,1.3732158180778031
2025-07-27,118146,3106401.269999969,1.3909146310497182
2025-07-28,118654,3227612.669999951,1.6412699951118377
2025-07-29,135491,3536929.610000005,1.6782996656604499
2025-07-30,138748,3600726.8499999484,1.6864909764465073
2025-07-31,136703,3737220.219999931,1.5763351938143275
2025-08-01,119876,3201784.759999945,1.5427024592078482
2025-08-02,127830,3237035.8599999477,1.4031526245795196
2025-08-03,110297,2898999.819999937,1.4197122315203496
2025-08-04,103174,2763908.4799999422,1.6597325876674356
2025-08-05,115387,3020603.25999994,1.7440721225094682
2025-08-06,124647,3274357.359999957,1.7212768859258547
2025-08-07,119177,3195710.739999941,1.6876158990409222
